Title,Likes,Comments,Shares
"VIDEO: 
Una “monja” arrastró una maleta con el cuerpo sin vida de su amiga 21 años menor que ella.
 ",3,1,1
"¿Te gustaría ir a comer en el mismo restaurante que estuvo David Beckham? 
Pues prepara tu bolsillo porque esto es lo que te costará.",3,0,0
"¿Eres cinéfilo?
 ¡Pues esta noticia te va a encantar! 
 #Cinepolis anunció unas increíbles promociones este mes de abril.",1,0,0
Julián Gil comparte fotos en las que se ve caracterizado como Drag Queen junto a la famosa Wendy Guevara.,2,0,0
VIDEO: alumnos de universidad colocan una manta en la que se acusa a un profesor de acoso y este agrede a un joven que evitaba que el maestro quitara dicha manta. ,1,0,0
Un sujeto fue detenido en #Sonora  luego de dispararle tanto a su pareja como a su bebé de tan solo 2 meses de edad.,2,0,0
"¡Duranguense, es tu oportunidad de brillar en el mundo del futbol profesional! 
 pues el FC Juárez estará realizando visorias tanto para hombres como para mujeres en #Durango. ",1,0,0
"#VIDEO: El jugador estrella de los #Chiefs 
 y pareja de la cantante Taylor Swift, se graduó de la universidad y lo celebró con una gran fiesta ",4,0,0
"Una vez más personal de la policía estatal
  se convirtieron en héroes 
 luego de auxiliar a una mujer que se estaba asfixiando ",1,0,0
"Filadelfia y Pensilvania 
 pusieron una demanda con la que fabricantes de armas se vieron obligados a suspender su producción ",5,0,0
"#VIDEO: La naturaleza no deja de sorprendernos 
, así fue captado un perro husky paseando con sus nuevos amigos, tres osos 
 ",12,0,0
"#VIDEO: El #Barcelona 
 vuelve a tener artista colaborador plasmado en su jersey, ahora se trata de la bichota #KarolG ",5,0,0
"El s3xo servicio en #Durango no se queda atrás en la innovación de sus servicios 
 ahora también ya trabajan a través de aplicaciones móviles ",1,0,0
"#VIDEO: Este hombre está viviendo el sueño 
Su novia logró conseguirle un autógrafo de la leyenda David Beckham ",1,0,0
"#VIDEO
: Adrián Uribe volvió a hablar sobre su incursión en la política en un nuevo video, aquí te decimos que dijo",1,0,0
