title,reactions,comments,shares
"¡Se captó en cámara! 
 Un hombre acosador rondaba por los negocios de la zona centro donde fotografiaba por debajo de la ropa a mujeres. ",4,1,No element
"¡Se sigue recuperando! 
 #NayeliRangel 
 se perder lo que resta del torneo de Clausura 2024. ",1,No element,No element
"¡Qué no te roben los espejos! 
 Un joven nos muestras esta técnica infalible para evitar este tipo de robos. ",1,No element,No element
"¡La madre de todas las bandas! 
 Conoce cuándo, a qué hora y en dónde se presentará la Banda El Recodo en #Durango. ",5,No element,No element
"¡Se alargan las vacaciones! 
 Estudiantes de la #UJED se suman a la suspensión de clases por el Eclipse Total. ",3,No element,No element
"¡#Ozuna en México! 
 El reggaetonero ofrecerá cinco conciertos en el país. ",2,No element,No element
"¡Por primera vez se ejercerá el voto anticipado! 
 En #Durango 
 solo 69 personas podrán ejercer su derecho al voto en mayo. ",2,No element,No element
"¡Un nuevo equipo! 
 #SanDiegoFC 
 se unirá a la MLS y algunos jugadores mexicanos podrían estar dentro de sus filas. ",2,No element,No element
"¡Murió #JoeFlaherty! 
 Actor estadounidense que participó en la película de ‘Volver al Futuro II’. ",2,No element,No element
"Se aproxima el Eclipse Total del Sol 
, ¿pero sabes cuáles eventos astronómicos se acercan? ¡Aquí te platicamos! ",2,No element,No element
"¡Estamos en la recta final! 
 La Jornada 14 de la #LigaMX 
 ofrece duelos con historia y con mucho de por medio. ",4,No element,No element
"¡Alertaron a la ciudad! 
 La #ONU 
 informó que más de 50 mil personas han abandonado sus casas en una localidad de #Haití 
, por la violencia ocasionado por pandillas. ",3,No element,No element
