summed_tokens,Titles_length,Sentiments,Total_interactions
-1.1102230246251565e-16,23,0.0005547455534653342,4
-1.3877787807814457e-16,26,1.2049556042844494e-09,3
-1.5959455978986625e-16,22,0.05531603058249793,1
5.551115123125783e-17,20,0.0019342673709690304,2
-1.3877787807814457e-16,33,0.0015687321486755213,1
-7.632783294297951e-17,26,0.0006726775042560703,2
6.938893903907228e-17,31,0.019867779868620854,1
-9.71445146547012e-17,30,0.8903450885014017,4
-1.3877787807814457e-17,22,0.0016075912014036813,1
-1.0408340855860843e-17,19,0.005288365010621977,5
-2.0816681711721685e-17,24,0.003609374513170023,12
8.326672684688674e-17,24,0.013510334556252227,5
4.163336342344337e-17,25,0.0004885432926233309,1
-1.942890293094024e-16,20,0.17973051301526927,1
-6.938893903907228e-18,24,0.0013055507487995464,1
